user_registration_id,payment_detail_id,plan_id,start_date,end_date,payment_method_code,payment_method_value,payment_method_expiry,payment_frequency_code,cost_amount,english_description,french_description
22,22,1,2024-02-21T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,2720201947623988,01/26,MONTHLY,1.99,Monthly,Mensuel
23,23,3,2024-04-26T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,03/27,ONETIME,14.99,Onetime,Une fois
24,24,3,2024-01-12T00:00:00.000-06:00,2024-07-30T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,11/25,ONETIME,14.99,Onetime,Une fois
25,25,2,2024-07-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,05/26,ANNUALLY,9.99,Annually,Annuel
26,26,1,2024-05-29T00:00:00.000-06:00,2024-11-14T00:00:00.000-06:00,PAYPAL,bfranklin@example.com,10/25,MONTHLY,1.99,Monthly,Mensuel
27,27,3,2024-05-08T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,10/98,ONETIME,14.99,Onetime,Une fois
28,28,2,2024-11-29T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,12/26,ANNUALLY,9.99,Annually,Annuel
29,29,2,2024-06-13T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,03/27,ANNUALLY,9.99,Annually,Annuel
30,30,1,2024-01-25T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,676352429069,12/25,MONTHLY,1.99,Monthly,Mensuel
31,31,1,2024-10-06T00:00:00.000-06:00,2024-12-05T00:00:00.000-06:00,PAYPAL,zroberts@example.net,02/25,MONTHLY,1.99,Monthly,Mensuel
32,32,3,2024-03-30T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,12/26,ONETIME,14.99,Onetime,Une fois
33,33,3,2024-06-12T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,01/25,ONETIME,14.99,Onetime,Une fois
34,34,3,2024-01-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,03/27,ONETIME,14.99,Onetime,Une fois
35,35,3,2024-09-06T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,4893297476407451,07/26,ONETIME,14.99,Onetime,Une fois
36,36,1,2024-12-04T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,dyoung@example.net,03/27,MONTHLY,1.99,Monthly,Mensuel
37,37,3,2024-06-20T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,12/25,ONETIME,14.99,Onetime,Une fois
38,38,2,2024-04-10T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,3555440774394341,02/25,ANNUALLY,9.99,Annually,Annuel
39,39,3,2024-01-05T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,01/27,ONETIME,14.99,Onetime,Une fois
40,40,1,2024-01-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,09/25,MONTHLY,1.99,Monthly,Mensuel
41,41,1,2024-07-08T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,02/27,MONTHLY,1.99,Monthly,Mensuel
42,42,1,2024-08-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,11/25,MONTHLY,1.99,Monthly,Mensuel
43,43,1,2024-08-02T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,fwarren@example.net,05/26,MONTHLY,1.99,Monthly,Mensuel
44,44,1,2024-08-17T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,12/26,MONTHLY,1.99,Monthly,Mensuel
45,45,2,2024-01-12T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,30460491259727,06/26,ANNUALLY,9.99,Annually,Annuel
46,46,2,2024-09-23T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,03/26,ANNUALLY,9.99,Annually,Annuel
47,47,3,2024-11-08T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,05/26,ONETIME,14.99,Onetime,Une fois
48,48,3,2024-07-26T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,12/26,ONETIME,14.99,Onetime,Une fois
49,49,1,2024-05-31T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,01/27,MONTHLY,1.99,Monthly,Mensuel
50,50,2,2024-04-06T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,07/26,ANNUALLY,9.99,Annually,Annuel
51,51,2,2024-07-24T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,03/25,ANNUALLY,9.99,Annually,Annuel
52,52,2,2024-06-19T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,showard@example.org,10/25,ANNUALLY,9.99,Annually,Annuel
53,53,2,2024-05-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,mbowman@example.org,11/26,ANNUALLY,9.99,Annually,Annuel
54,54,3,2024-03-30T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,01/26,ONETIME,14.99,Onetime,Une fois
55,55,1,2024-03-29T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,03/26,MONTHLY,1.99,Monthly,Mensuel
56,56,1,2024-11-28T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,11/25,MONTHLY,1.99,Monthly,Mensuel
57,57,1,2024-06-01T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,04/25,MONTHLY,1.99,Monthly,Mensuel
58,58,3,2024-05-28T00:00:00.000-06:00,2024-11-17T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,12/25,ONETIME,14.99,Onetime,Une fois
59,59,2,2024-07-05T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,08/26,ANNUALLY,9.99,Annually,Annuel
60,60,1,2024-03-01T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,03/26,MONTHLY,1.99,Monthly,Mensuel
61,61,1,2024-06-07T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,03/26,MONTHLY,1.99,Monthly,Mensuel
62,62,2,2024-01-31T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,kbrooks@example.net,10/26,ANNUALLY,9.99,Annually,Annuel
63,63,2,2024-11-03T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,4362469914374575,09/25,ANNUALLY,9.99,Annually,Annuel
64,64,2,2024-02-17T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,10/26,ANNUALLY,9.99,Annually,Annuel
65,65,3,2024-01-07T00:00:00.000-06:00,2024-12-06T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,01/25,ONETIME,14.99,Onetime,Une fois
66,66,1,2024-09-19T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,12/25,MONTHLY,1.99,Monthly,Mensuel
67,67,3,2024-01-07T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,09/26,ONETIME,14.99,Onetime,Une fois
68,68,1,2024-09-26T00:00:00.000-06:00,2024-11-04T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,01/25,MONTHLY,1.99,Monthly,Mensuel
69,69,1,2024-05-27T00:00:00.000-06:00,2024-07-03T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,07/25,MONTHLY,1.99,Monthly,Mensuel
70,70,3,2024-09-10T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,12/25,ONETIME,14.99,Onetime,Une fois
71,71,1,2024-11-26T00:00:00.000-06:00,2024-12-05T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,07/25,MONTHLY,1.99,Monthly,Mensuel
72,72,3,2024-08-04T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,11/25,ONETIME,14.99,Onetime,Une fois
73,73,3,2024-02-03T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,07/26,ONETIME,14.99,Onetime,Une fois
74,74,1,2024-11-25T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,ksullivan@example.org,04/25,MONTHLY,1.99,Monthly,Mensuel
75,75,1,2024-04-21T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,11/26,MONTHLY,1.99,Monthly,Mensuel
76,76,2,2024-05-31T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,acunningham@example.net,09/25,ANNUALLY,9.99,Annually,Annuel
77,77,1,2024-07-20T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,10/26,MONTHLY,1.99,Monthly,Mensuel
78,78,1,2024-03-12T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,3521067634826245,03/27,MONTHLY,1.99,Monthly,Mensuel
79,79,1,2024-06-02T00:00:00.000-06:00,2024-09-06T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,02/25,MONTHLY,1.99,Monthly,Mensuel
80,80,3,2024-09-27T00:00:00.000-06:00,2024-10-21T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,06/26,ONETIME,14.99,Onetime,Une fois
81,81,3,2024-10-31T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,12/25,ONETIME,14.99,Onetime,Une fois
82,82,3,2024-11-24T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,04/25,ONETIME,14.99,Onetime,Une fois
83,83,3,2024-05-29T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,560613784704,12/26,ONETIME,14.99,Onetime,Une fois
84,84,2,2024-11-04T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,llopez@example.org,06/26,ANNUALLY,9.99,Annually,Annuel
85,85,2,2024-01-20T00:00:00.000-06:00,2024-09-09T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,12/25,ANNUALLY,9.99,Annually,Annuel
86,86,1,2024-08-16T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,02/26,MONTHLY,1.99,Monthly,Mensuel
87,87,2,2024-09-01T00:00:00.000-06:00,2024-10-25T00:00:00.000-06:00,CREDIT_CARD,2253465037887689,08/26,ANNUALLY,9.99,Annually,Annuel
88,88,2,2024-07-22T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,4939739119183920,09/25,ANNUALLY,9.99,Annually,Annuel
89,89,1,2024-02-26T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,jhooper@example.net,07/26,MONTHLY,1.99,Monthly,Mensuel
90,90,3,2024-08-16T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,aschultz@example.org,01/27,ONETIME,14.99,Onetime,Une fois
91,91,3,2024-10-31T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,jenglish@example.org,09/26,ONETIME,14.99,Onetime,Une fois
92,92,2,2024-02-20T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,jbecker@example.net,09/26,ANNUALLY,9.99,Annually,Annuel
93,93,1,2024-01-31T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,tsims@example.net,10/25,MONTHLY,1.99,Monthly,Mensuel
94,94,2,2024-04-03T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,croy@example.org,09/26,ANNUALLY,9.99,Annually,Annuel
95,95,2,2024-11-01T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,06/25,ANNUALLY,9.99,Annually,Annuel
96,96,3,2024-02-05T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,04/26,ONETIME,14.99,Onetime,Une fois
97,97,2,2024-03-29T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,02/27,ANNUALLY,9.99,Annually,Annuel
98,98,3,2024-08-10T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,08/26,ONETIME,14.99,Onetime,Une fois
99,99,3,2024-03-11T00:00:00.000-06:00,2024-05-27T00:00:00.000-06:00,PAYPAL,hclark@example.org,03/25,ONETIME,14.99,Onetime,Une fois
100,100,1,2024-03-30T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,01/26,MONTHLY,1.99,Monthly,Mensuel
101,101,2,2024-04-21T00:00:00.000-06:00,2024-10-19T00:00:00.000-06:00,CREDIT_CARD,4312801308917398,11/25,ANNUALLY,9.99,Annually,Annuel
102,102,2,2024-06-04T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,10/25,ANNUALLY,9.99,Annually,Annuel
103,103,3,2024-05-08T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,10/26,ONETIME,14.99,Onetime,Une fois
104,104,3,2024-08-14T00:00:00.000-06:00,2024-08-25T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,03/27,ONETIME,14.99,Onetime,Une fois
105,105,1,2024-12-28T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,09/25,MONTHLY,1.99,Monthly,Mensuel
106,106,3,2024-03-02T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,6520248142029001,01/26,ONETIME,14.99,Onetime,Une fois
107,107,2,2024-01-17T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,05/25,ANNUALLY,9.99,Annually,Annuel
108,108,1,2024-10-16T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,hglass@example.net,07/26,MONTHLY,1.99,Monthly,Mensuel
109,109,1,2024-09-07T00:00:00.000-06:00,2024-09-17T00:00:00.000-06:00,PAYPAL,jmaynard@example.net,03/25,MONTHLY,1.99,Monthly,Mensuel
110,110,2,2024-11-30T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,mramos@example.com,03/26,ANNUALLY,9.99,Annually,Annuel
111,111,2,2024-10-13T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,09/25,ANNUALLY,9.99,Annually,Annuel
112,112,1,2024-06-10T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,08/26,MONTHLY,1.99,Monthly,Mensuel
113,113,2,2024-06-04T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,10/26,ANNUALLY,9.99,Annually,Annuel
114,114,2,2024-09-02T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,05/25,ANNUALLY,9.99,Annually,Annuel
115,115,2,2024-02-03T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,10/25,ANNUALLY,9.99,Annually,Annuel
116,116,3,2024-04-22T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,03/27,ONETIME,14.99,Onetime,Une fois
117,117,3,2024-05-19T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,02/27,ONETIME,14.99,Onetime,Une fois
118,118,3,2024-02-02T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,01/27,ONETIME,14.99,Onetime,Une fois
119,119,3,2024-09-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,02/27,ONETIME,14.99,Onetime,Une fois
120,120,1,2024-07-21T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,jduncan@example.org,06/26,MONTHLY,1.99,Monthly,Mensuel
121,121,2,2024-04-24T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,4404137369480664,03/26,ANNUALLY,9.99,Annually,Annuel
122,122,2,2024-03-30T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,06/25,ANNUALLY,9.99,Annually,Annuel
123,123,1,2024-03-09T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,08/26,MONTHLY,1.99,Monthly,Mensuel
124,124,3,2024-01-09T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,01/27,ONETIME,14.99,Onetime,Une fois
125,125,3,2024-04-08T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,gchase@example.com,02/25,ONETIME,14.99,Onetime,Une fois
126,126,1,2024-07-27T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,04/25,MONTHLY,1.99,Monthly,Mensuel
127,127,3,2024-11-11T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,10/26,ONETIME,14.99,Onetime,Une fois
128,128,3,2024-10-29T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,08/25,ONETIME,14.99,Onetime,Une fois
129,129,3,2024-03-27T00:00:00.000-06:00,2024-11-05T00:00:00.000-06:00,PAYPAL,dwade@example.net,08/25,ONETIME,14.99,Onetime,Une fois
130,130,1,2024-07-17T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,04/26,MONTHLY,1.99,Monthly,Mensuel
131,131,1,2024-06-13T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,09/26,MONTHLY,1.99,Monthly,Mensuel
132,132,2,2024-02-25T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,02/27,ANNUALLY,9.99,Annually,Annuel
133,133,2,2024-10-05T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,10/26,ANNUALLY,9.99,Annually,Annuel
134,134,3,2024-01-27T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,02/25,ONETIME,14.99,Onetime,Une fois
135,135,1,2024-04-02T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,12/26,MONTHLY,1.99,Monthly,Mensuel
136,136,1,2024-05-15T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,6011989042573467,09/26,MONTHLY,1.99,Monthly,Mensuel
137,137,1,2024-05-25T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,02/27,MONTHLY,1.99,Monthly,Mensuel
138,138,1,2024-09-24T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,11/26,MONTHLY,1.99,Monthly,Mensuel
139,139,2,2024-05-28T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,06/26,ANNUALLY,9.99,Annually,Annuel
140,140,1,2024-08-20T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,10/26,MONTHLY,1.99,Monthly,Mensuel
141,141,2,2024-03-20T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,03/27,ANNUALLY,9.99,Annually,Annuel
142,142,2,2024-05-11T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,04/25,ANNUALLY,9.99,Annually,Annuel
143,143,3,2024-03-22T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,07/25,ONETIME,14.99,Onetime,Une fois
144,144,1,2024-08-28T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,bbarnes@example.net,08/26,MONTHLY,1.99,Monthly,Mensuel
145,145,2,2024-09-06T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,06/25,ANNUALLY,9.99,Annually,Annuel
146,146,1,2024-07-06T00:00:00.000-06:00,2024-11-19T00:00:00.000-06:00,PAYPAL,gpatterson@example.org,11/26,MONTHLY,1.99,Monthly,Mensuel
147,147,1,2024-08-12T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,11/25,MONTHLY,1.99,Monthly,Mensuel
148,148,2,2024-11-13T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,11/26,ANNUALLY,9.99,Annually,Annuel
149,149,1,2024-11-18T00:00:00.000-06:00,2024-12-26T00:00:00.000-06:00,PAYPAL,mhammond@example.net,06/25,MONTHLY,1.99,Monthly,Mensuel
150,150,1,2024-05-16T00:00:00.000-06:00,2024-07-16T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,03/27,MONTHLY,1.99,Monthly,Mensuel
151,151,1,2024-01-03T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,5436024679595366,07/26,MONTHLY,1.99,Monthly,Mensuel
152,152,1,2024-02-05T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,12/25,MONTHLY,1.99,Monthly,Mensuel
